@relation bandeiracovid
93,127,53,164,8,66,258,133,4823.91,4270.58,100, 92,64,2 
91,242,40,3,83,192,244,75,10263.64,3803.48,24, 42,4,2 
57,67,299,79,126,135,167,179,5645.00,7340.06,298, 72,71,2 
1,14,22,129,17,203,270,297,6363.46,3403.12,259, 91,17,1 
195,2,14,188,274,138,43,113,14061.19,14813.57,246, 15,75,2 
139,284,118,135,293,147,193,245,12521.64,17616.14,1, 66,1,1 
99,174,262,232,142,283,85,220,12521.64,4203.85,237, 91,45,2 
67,221,230,164,224,36,180,137,14882.28,12678.28,130, 72,15,3 
118,110,95,169,244,213,159,119,4567.32,19818.15,83, 2,34,1 
37,228,258,260,28,137,3,95,12726.92,15814.49,247, 63,27,1 
79,283,205,174,60,205,118,199,5747.64,11610.64,195, 3,65,2 
229,87,121,120,155,291,174,183,12880.87,3269.66,23, 55,78,2 
298,204,264,55,243,177,207,3,3079.09,6539.32,26, 95,13,3 
19,152,177,235,240,54,116,106,2206.68,6739.51,87, 32,72,2 
154,222,257,214,107,201,260,260,2258.00,15480.85,95, 58,0,2 
167,4,224,121,6,110,58,19,3284.37,17616.14,43, 15,9,3 
295,48,11,165,296,209,299,6,15344.15,8674.61,10, 57,15,3 
183,218,49,13,12,271,7,169,6774.00,15614.30,86, 8,83,2 
65,41,153,31,192,64,49,281,13342.73,7139.87,183, 10,46,3 
266,71,31,100,84,37,154,35,4464.68,16681.95,240, 73,23,3 
163,41,164,129,250,80,268,86,6517.41,8674.61,217, 98,26,3 
234,244,165,63,23,114,157,276,10776.82,1534.74,153, 8,93,3 
266,29,136,209,39,7,240,240,7338.50,19017.42,127, 87,68,2 
109,200,267,13,145,227,216,23,12316.37,2669.11,73, 90,55,2 
72,261,40,161,58,210,131,168,13240.10,7406.78,5, 30,97,3 
245,52,188,98,61,37,167,134,11597.92,2402.20,194, 34,35,3 
96,38,50,140,213,36,61,9,205.27,2001.83,168, 93,36,3 
285,108,32,163,27,21,99,232,9955.73,10276.08,225, 51,49,2 
84,112,231,202,292,224,84,27,4516.00,12544.82,272, 12,55,3 
98,224,268,295,81,6,120,112,4823.91,17682.86,8, 14,38,2 
290,238,154,277,189,66,76,66,2104.05,4270.58,165, 73,57,3 
238,110,267,124,215,114,266,196,14215.14,12478.10,150, 54,87,3 
194,264,103,20,281,271,109,37,9955.73,12077.73,267, 2,71,1 
266,277,295,142,266,102,61,191,10776.82,3603.30,172, 62,20,2 
12,160,115,194,170,195,131,288,3643.59,17549.41,9, 3,38,1 
271,7,143,268,163,218,78,270,4669.96,2869.29,216, 88,2,2 
157,292,98,129,217,172,14,94,2463.27,12811.74,116, 27,0,2 
175,222,139,284,188,133,6,57,9904.42,3069.48,96, 75,86,2 
95,176,81,76,170,176,107,259,3848.87,3736.76,62, 51,78,2 
52,37,294,13,55,261,91,257,11392.64,12144.46,146, 8,60,2 
230,139,57,67,189,190,58,275,2360.64,7473.51,3, 89,68,2 
277,16,59,99,226,90,288,212,13034.83,17215.77,221, 64,11,3 
228,231,63,126,194,9,25,47,1231.64,1334.56,222, 58,83,2 
208,280,168,3,15,6,145,64,12008.46,5271.50,281, 36,74,3 
156,244,49,97,8,45,276,47,615.82,9675.53,162, 95,80,2 
84,54,66,231,113,293,227,68,8672.78,5605.13,43, 20,92,3 
91,221,133,114,59,180,35,35,14420.42,13412.29,226, 56,85,2 
91,218,204,187,193,104,53,193,2104.05,17349.22,82, 41,44,2 
26,70,248,202,204,40,41,113,14625.69,7473.51,39, 90,92,3 
82,208,25,125,113,58,191,208,10571.55,16214.85,134, 54,96,3 
127,45,130,45,217,104,94,236,7595.10,17215.77,9, 38,22,3 
199,49,155,254,238,238,207,120,6825.32,14613.39,51, 18,51,2 
194,219,295,60,72,196,67,151,5798.96,6739.51,169, 78,77,2 
231,182,247,53,65,250,102,202,11033.42,8541.16,57, 55,95,3 
278,109,220,37,35,1,224,269,1950.09,10476.26,192, 7,78,3 
161,6,155,173,32,145,96,7,1744.82,16615.22,296, 61,0,2 
257,20,195,57,97,278,6,183,12162.42,1734.92,255, 80,93,3 
74,44,279,78,249,63,110,270,14574.37,16348.31,144, 77,46,3 
176,5,157,208,256,13,118,238,10417.60,8941.52,38, 34,78,2 
222,275,122,148,235,108,204,142,975.05,16415.04,297, 12,5,2 
239,97,171,118,192,80,177,142,1693.50,2669.11,82, 75,72,3 
191,293,154,27,87,270,70,278,13394.05,15213.94,36, 64,47,2 
137,71,34,112,259,182,281,203,1642.18,14146.29,295, 28,35,3 
117,230,298,190,170,271,86,110,4926.55,0.00,144, 44,17,1 
286,191,50,146,12,112,44,95,3335.68,18617.05,218, 57,43,2 
1,235,208,158,169,299,168,33,14984.92,6539.32,53, 90,47,2 
182,162,76,191,244,264,135,140,513.18,5872.05,211, 64,2,2 
81,242,171,89,189,27,229,197,14779.64,4337.31,158, 9,73,3 
277,251,183,46,19,118,49,104,975.05,11477.18,114, 2,82,1 
168,263,18,55,276,98,149,9,12162.42,2535.66,97, 16,58,2 
82,202,41,295,160,54,12,49,6979.28,3136.21,138, 36,96,3 
218,239,233,148,223,186,211,170,6671.37,13345.56,79, 19,48,3 
213,175,215,24,83,177,241,237,5234.46,16014.67,62, 74,64,3 
206,292,247,79,137,74,122,223,13958.55,14279.75,8, 53,83,2 
111,48,206,162,107,66,92,266,2206.68,15947.94,100, 76,21,3 
31,181,141,154,3,90,291,123,2719.87,12878.46,121, 37,26,2 
85,294,199,134,219,47,234,230,12470.33,2468.93,299, 21,63,3 
40,299,177,100,69,51,24,256,4721.28,10876.63,224, 36,63,2 
49,101,29,265,257,144,178,26,205.27,3136.21,196, 32,19,2 
119,4,290,259,241,44,26,208,8775.41,6872.96,247, 95,14,3 
27,146,229,135,262,132,232,47,14830.96,4404.03,215, 13,71,3 
129,118,39,201,66,37,94,256,12111.10,12211.19,236, 84,61,2 
284,221,262,14,56,270,64,77,2360.64,6272.41,219, 84,7,2 
31,119,234,13,132,83,23,235,5696.32,7473.51,120, 75,38,2 
235,75,238,94,269,245,211,236,9545.19,7807.15,80, 56,50,3 
223,239,207,232,230,133,228,250,5952.91,3202.93,299, 42,29,2 
216,38,100,264,154,139,76,164,12829.55,13278.83,188, 46,28,2 
20,154,89,170,167,229,77,273,7235.87,667.28,131, 45,11,1 
241,204,159,276,59,235,293,85,3746.23,6872.96,12, 52,11,2 
147,56,19,143,45,161,180,72,3643.59,5404.95,84, 16,23,2 
50,261,187,171,42,215,283,258,6209.50,12011.00,195, 68,77,2 
128,174,203,18,31,219,14,93,9442.55,9942.44,11, 9,92,3 
101,255,187,197,102,176,203,61,4772.59,19751.43,200, 13,94,3 
116,162,67,124,174,66,106,68,4516.00,10809.90,141, 46,24,2 
123,133,90,99,246,298,70,111,4002.82,6672.78,285, 1,10,1 
255,150,24,36,262,51,24,210,205.27,8340.97,19, 62,79,2 
293,79,153,240,182,183,155,101,13496.69,8140.79,159, 75,32,2 
204,120,203,75,253,236,149,180,14061.19,8941.52,19, 74,45,3 
86,178,197,160,44,287,278,239,2617.23,14880.30,4, 23,99,3 
280,265,165,282,147,76,58,240,9237.28,5271.50,205, 58,20,2 
155,208,88,137,6,194,237,204,1334.27,11810.82,214, 71,29,2 
161,152,59,227,15,162,59,7,1950.09,8674.61,279, 65,85,2 
127,281,154,186,55,85,34,66,6774.00,10676.45,138, 96,27,1 
247,85,54,52,10,90,290,100,14471.74,2802.57,69, 7,71,3 
282,167,289,213,40,245,28,111,5542.37,15080.48,45, 2,84,1 
232,35,9,169,47,249,187,255,11854.51,17682.86,205, 74,82,2 
45,219,109,284,154,33,111,172,6158.19,18683.78,45, 15,33,2 
279,149,296,215,67,232,6,2,9083.32,19617.97,41, 23,33,3 
84,93,265,215,132,42,131,28,4464.68,400.37,26, 34,52,3 
197,43,247,238,297,32,271,218,1796.14,11277.00,250, 84,97,3 
226,269,153,111,242,273,149,188,667.14,18350.14,58, 27,43,2 
228,128,19,268,92,128,221,165,4310.73,18016.50,61, 41,27,2 
15,266,238,118,43,133,223,61,11443.96,14546.66,103, 34,95,3 
96,275,143,127,124,147,290,250,359.23,6005.50,99, 39,97,3 
147,168,155,119,29,65,218,170,10161.01,9341.89,140, 68,65,2 
